date,close
1996-12-11,704.6800
1996-12-12,689.3800
1996-12-13,689.0700
1996-12-16,673.9200
1996-12-17,663.3500
1996-12-18,661.3900
1996-12-19,690.9700
1996-12-20,700.8700
1996-12-23,684.8100
1996-12-24,677.7600
1996-12-26,659.0100
1996-12-27,651.2200
1997-01-03,653.7900
1997-01-06,626.8700
1997-01-07,611.0500
1997-01-08,621.4100
1997-01-09,639.8700
1997-01-10,648.6900
1997-01-13,659.5400
1997-01-14,686.5900
1997-01-15,699.7600
1997-01-16,711.8600
1997-01-17,701.1800
1997-01-20,718.4600
1997-01-21,690.5400
1997-01-22,678.9400
1997-01-23,676.9100
1997-01-24,679.5600
1997-01-27,664.7000
1997-01-28,662.8500
1997-01-29,663.5600
1997-01-30,676.5200
1997-01-31,685.8400
1997-02-03,687.2500
1997-02-04,695.9500
1997-02-05,698.6000
1997-02-06,700.2200
1997-02-10,709.7900
1997-02-11,713.4300
1997-02-12,712.5000
1997-02-13,716.7100
1997-02-14,721.0000
1997-02-17,712.9300
1997-02-18,706.9400
1997-02-19,713.6700
1997-02-20,711.1300
1997-02-21,686.7200
1997-02-24,676.5900
1997-02-25,682.8100
1997-02-26,679.7100
1997-02-27,669.4100
1997-02-28,676.5300
1997-03-03,679.6400
1997-03-04,679.9700
1997-03-05,674.9000
1997-03-06,678.1100
1997-03-07,681.2200
1997-03-10,667.3500
1997-03-11,655.9500
1997-03-12,663.9000
1997-03-13,657.9000
1997-03-14,642.0800
1997-03-17,658.9000
1997-03-18,657.9700
1997-03-19,646.2900
1997-03-20,642.8600
1997-03-21,627.6300
1997-03-24,617.2600
1997-03-25,638.9000
1997-03-26,656.6200
1997-03-27,651.6500
1997-03-28,652.8700
1997-03-31,677.3400
1997-04-01,672.9900
1997-04-02,678.8600
1997-04-03,678.7400
1997-04-04,687.4200
1997-04-07,694.9000
1997-04-08,694.9700
1997-04-09,698.6600
1997-04-10,688.0400
1997-04-11,693.9400
1997-04-14,704.2000
1997-04-15,701.3900
1997-04-16,702.4200
1997-04-17,694.7600
1997-04-18,695.6700
1997-04-21,697.3400
1997-04-22,687.9600
1997-04-23,693.0500
1997-04-24,690.8000
1997-04-25,692.4800
1997-04-28,704.1600
1997-04-29,704.0500
1997-04-30,703.2300
1997-05-02,706.1000
1997-05-06,701.5700
1997-05-07,689.1000
1997-05-08,684.6900
1997-05-09,687.6200
1997-05-12,672.1000
1997-05-13,683.8600
1997-05-15,699.9500
1997-05-16,699.5300
1997-05-19,721.2000
1997-05-20,734.6700
1997-05-21,737.7100
1997-05-22,724.3800
1997-05-23,730.5300
1997-05-26,718.9900
1997-05-27,723.3500
1997-05-28,738.1200
1997-05-29,742.5000
1997-05-30,746.3600
1997-06-02,758.3900
1997-06-03,766.0600
1997-06-04,763.2500
1997-06-05,765.6700
1997-06-09,775.0100
1997-06-10,769.8300
1997-06-11,765.7900
1997-06-12,774.6600
1997-06-13,789.1500
1997-06-16,789.0500
1997-06-17,792.2900
1997-06-18,773.2100
1997-06-19,770.9500
1997-06-20,770.2200
1997-06-23,753.0500
1997-06-24,753.7000
1997-06-25,744.9900
1997-06-26,744.3400
1997-06-27,738.4300
1997-06-30,745.4000
1997-07-01,758.0300
1997-07-02,777.2900
1997-07-03,775.2600
1997-07-04,781.7000
1997-07-07,773.5100
1997-07-08,767.7400
1997-07-09,771.9900
1997-07-10,767.7700
1997-07-11,768.3000
1997-07-14,764.4500
1997-07-15,755.0500
1997-07-16,739.7200
1997-07-18,747.3700
1997-07-21,740.9300
1997-07-22,725.9800
1997-07-23,730.5800
1997-07-24,739.0400
1997-07-25,733.6400
1997-07-28,733.9200
1997-07-29,732.6800
1997-07-30,726.8900
1997-07-31,726.1200
1997-08-01,731.4500
1997-08-04,734.1900
1997-08-05,740.8600
1997-08-06,745.6500
1997-08-07,745.3500
1997-08-08,752.0100
1997-08-11,765.0700
1997-08-12,762.0200
1997-08-13,762.7300
1997-08-14,755.7800
1997-08-18,747.2900
1997-08-19,741.2900
1997-08-20,746.2300
1997-08-21,739.4700
1997-08-22,736.6200
1997-08-25,741.7600
1997-08-26,734.0300
1997-08-27,730.2800
1997-08-28,716.8600
1997-08-29,704.2700
1997-09-01,682.2000
1997-09-02,688.7800
1997-09-03,688.6300
1997-09-04,687.9900
1997-09-05,700.9200
1997-09-08,697.9800
1997-09-09,688.9700
1997-09-10,691.6200
1997-09-11,695.3700
1997-09-12,699.3300
1997-09-18,701.3900
1997-09-19,689.1600
1997-09-22,668.4500
1997-09-23,654.3700
1997-09-24,655.7500
1997-09-25,647.0000
1997-09-26,638.2600
1997-09-29,625.0700
1997-09-30,647.1100
1997-10-01,644.9200
1997-10-02,636.6500
1997-10-06,644.2100
1997-10-07,630.0300
1997-10-08,610.4400
1997-10-09,609.3600
1997-10-10,609.8400
1997-10-13,613.0000
1997-10-14,620.6800
1997-10-15,604.7400
1997-10-16,579.2500
1997-10-17,585.4900
1997-10-20,565.6400
1997-10-21,566.8500
1997-10-22,601.3200
1997-10-23,604.0600
1997-10-24,570.9100
1997-10-27,530.4700
1997-10-28,495.2800
1997-10-29,506.6400
1997-10-30,485.0800
1997-10-31,470.7900
1997-11-03,511.6600
1997-11-04,542.1300
1997-11-05,555.7400
1997-11-06,553.8700
1997-11-07,515.6300
1997-11-10,525.3200
1997-11-11,522.1100
1997-11-12,517.4900
1997-11-13,519.4700
1997-11-14,520.0100
1997-11-17,496.9800
1997-11-18,494.6600
1997-11-19,502.5900
1997-11-20,488.4100
1997-11-21,506.0700
1997-11-24,450.6400
1997-11-25,439.5900
1997-11-26,438.7000
1997-11-27,433.1000
1997-11-28,411.9100
1997-12-01,393.1600
1997-12-02,376.8700
1997-12-03,379.3100
1997-12-04,405.8100
1997-12-05,434.1200
1997-12-08,414.8300
1997-12-09,388.0000
1997-12-10,399.8500
1997-12-11,377.3700
1997-12-12,350.6800
1997-12-15,385.8000
1997-12-16,404.2600
1997-12-17,418.4900
1997-12-19,397.0200
1997-12-22,396.0600
1997-12-23,366.3600
1997-12-24,351.4500
1997-12-26,375.1500
1998-01-05,396.4900
1998-01-06,406.3400
1998-01-07,409.4200
1998-01-08,423.9600
1998-01-09,414.0000
1998-01-12,456.2000
1998-01-13,463.7400
1998-01-14,475.1300
1998-01-15,505.9800
1998-01-16,488.1000
1998-01-19,528.7700
1998-01-20,533.5500
1998-01-21,506.6600
1998-01-22,483.9900
1998-01-23,486.8600
1998-01-26,518.6400
1998-01-30,558.3300
1998-02-02,543.6800
1998-02-03,550.2100
1998-02-04,547.2800
1998-02-05,528.0500
1998-02-06,540.4500
1998-02-09,554.2400
1998-02-10,541.7700
1998-02-11,520.1400
1998-02-12,512.4900
1998-02-13,506.2000
1998-02-16,476.9800
1998-02-17,471.7300
1998-02-18,487.7300
1998-02-19,513.4500
1998-02-20,522.1300
1998-02-23,543.0600
1998-02-24,540.8900
1998-02-25,516.3800
1998-02-26,524.9800
1998-02-27,548.4200
1998-03-02,574.3500
1998-03-03,570.8900
1998-03-04,572.7600
1998-03-05,535.6800
1998-03-06,522.5500
1998-03-09,507.7100
1998-03-10,525.5600
1998-03-11,531.0500
1998-03-12,535.8400
1998-03-13,536.1600
1998-03-16,528.8800
1998-03-17,515.5100
1998-03-18,518.0800
1998-03-19,521.7300
1998-03-20,525.9500
1998-03-23,511.9000
1998-03-24,508.4300
1998-03-25,510.1400
1998-03-26,501.1300
1998-03-27,503.0800
1998-03-30,482.3300
1998-03-31,481.0400
1998-04-01,468.2200
1998-04-02,453.6600
1998-04-03,434.4500
1998-04-06,435.9200
1998-04-07,459.5800
1998-04-08,455.5300
1998-04-09,468.1100
1998-04-10,468.2900
1998-04-13,494.8900
1998-04-14,467.6300
1998-04-15,467.8700
1998-04-16,454.1500
1998-04-17,450.2300
1998-04-20,435.7300
1998-04-21,439.2100
1998-04-22,431.8100
1998-04-23,416.5400
1998-04-24,414.5600
1998-04-27,406.2500
1998-04-28,402.3900
1998-04-29,417.0500
1998-04-30,421.2200
1998-05-04,391.8000
1998-05-06,376.2300
1998-05-07,379.4700
1998-05-08,373.0400
1998-05-11,361.5800
1998-05-12,351.8600
1998-05-13,356.5800
1998-05-14,362.9400
1998-05-15,352.8300
1998-05-18,359.0000
1998-05-19,362.5300
1998-05-20,369.1700
1998-05-21,362.3000
1998-05-22,353.6700
1998-05-25,331.9000
1998-05-26,311.9900
1998-05-27,313.4800
1998-05-28,323.0900
1998-05-29,336.6300
1998-06-01,336.7000
1998-06-02,324.1000
1998-06-03,332.4600
1998-06-05,341.5300
1998-06-08,345.8800
1998-06-09,339.2200
1998-06-10,324.5400
1998-06-11,328.7000
1998-06-12,302.0900
1998-06-15,288.2100
1998-06-16,280.0000
1998-06-17,303.8100
1998-06-18,325.4900
1998-06-19,313.2600
1998-06-22,311.2700
1998-06-23,303.3100
1998-06-24,301.7200
1998-06-25,300.5700
1998-06-26,298.5400
1998-06-29,298.6000
1998-06-30,297.8800
1998-07-01,315.5600
1998-07-02,311.7700
1998-07-03,308.5300
1998-07-06,309.6100
1998-07-07,317.5000
1998-07-08,318.7900
1998-07-09,319.0200
1998-07-10,309.2800
1998-07-13,301.3700
1998-07-14,306.7300
1998-07-15,313.4200
1998-07-16,330.3500
1998-07-20,365.1800
1998-07-21,364.7600
1998-07-22,362.0700
1998-07-23,341.4600
1998-07-24,343.7900
1998-07-27,329.8000
1998-07-28,335.3300
1998-07-29,344.4100
1998-07-30,344.9100
1998-07-31,343.3300
1998-08-03,329.4700
1998-08-04,333.2000
1998-08-05,322.8300
1998-08-06,320.5700
1998-08-07,321.7100
1998-08-10,311.9500
1998-08-11,311.2500
1998-08-12,305.3500
1998-08-13,303.0100
1998-08-14,304.6100
1998-08-17,301.6200
1998-08-18,291.1500
1998-08-19,301.9000
1998-08-20,316.5900
1998-08-21,316.6200
1998-08-24,305.1500
1998-08-25,310.2300
1998-08-26,317.5600
1998-08-27,313.9200
1998-08-28,309.3200
1998-08-31,310.1600
1998-09-01,309.7100
1998-09-02,314.4000
1998-09-03,314.7800
1998-09-04,314.2200
1998-09-07,328.2200
1998-09-08,326.3400
1998-09-09,329.2200
1998-09-10,338.9500
1998-09-11,320.6100
1998-09-14,314.2400
1998-09-15,307.2700
1998-09-16,313.1700
1998-09-17,310.8800
1998-09-18,302.2100
1998-09-21,297.4500
1998-09-22,292.6100
1998-09-23,291.9300
1998-09-24,310.7500
1998-09-25,303.7900
1998-09-28,305.7300
1998-09-29,312.3300
1998-09-30,310.3200
1998-10-01,305.6400
1998-10-02,308.2500
1998-10-07,313.4900
1998-10-08,305.2200
1998-10-09,327.9600
1998-10-12,352.1700
1998-10-13,346.0800
1998-10-14,346.1300
1998-10-15,368.7400
1998-10-16,374.0100
1998-10-19,373.9700
1998-10-20,388.3500
1998-10-21,380.8000
1998-10-22,382.5200
1998-10-23,378.8300
1998-10-26,373.3200
1998-10-27,360.4300
1998-10-28,363.9100
1998-10-29,370.3000
1998-10-30,384.7500
1998-11-02,404.6100
1998-11-03,407.6400
1998-11-04,413.4700
1998-11-05,418.2000
1998-11-06,416.3000
1998-11-09,424.4500
1998-11-10,403.2400
1998-11-11,400.7000
1998-11-12,403.5200
1998-11-13,404.3000
1998-11-16,422.2100
1998-11-17,424.4300
1998-11-18,423.7400
1998-11-19,441.0600
1998-11-20,452.9300
1998-11-23,453.9500
1998-11-24,460.7800
1998-11-25,461.0100
1998-11-26,446.5900
1998-11-27,447.0000
1998-11-30,451.8800
1998-12-01,445.9600
1998-12-02,446.3500
1998-12-03,448.1100
1998-12-04,466.3400
1998-12-07,514.5200
1998-12-08,509.8500
1998-12-09,526.5200
1998-12-10,567.6100
1998-12-11,555.1700
1998-12-14,559.3000
1998-12-15,579.8600
1998-12-16,545.9700
1998-12-17,528.8900
1998-12-18,524.8500
1998-12-21,565.2700
1998-12-22,547.7500
1998-12-23,553.5300
1998-12-24,555.3600
1998-12-28,562.4600
1999-01-04,587.5700
1999-01-05,576.7800
1999-01-06,612.3600
1999-01-07,637.5900
1999-01-08,626.3300
1999-01-11,640.9500
1999-01-12,631.1900
1999-01-13,633.0300
1999-01-14,604.4200
1999-01-15,614.5700
1999-01-18,622.5200
1999-01-19,618.1200
1999-01-20,613.4300
1999-01-21,582.0400
1999-01-22,550.5800
1999-01-25,539.7600
1999-01-26,531.2300
1999-01-27,565.2000
1999-01-28,571.4700
1999-01-29,571.4300
1999-02-01,581.6700
1999-02-02,567.2800
1999-02-03,553.3300
1999-02-04,550.1500
1999-02-05,551.3900
1999-02-08,545.3800
1999-02-09,523.3800
1999-02-10,524.4900
1999-02-11,523.9900
1999-02-12,551.7700
1999-02-18,536.4100
1999-02-19,522.1800
1999-02-22,508.4900
1999-02-23,502.8800
1999-02-24,498.4200
1999-02-25,499.1400
1999-02-26,520.0600
1999-03-02,533.9700
1999-03-03,534.4900
1999-03-04,532.2900
1999-03-05,539.1900
1999-03-08,571.8400
1999-03-09,572.8500
1999-03-10,569.2700
1999-03-11,582.0700
1999-03-12,590.8000
1999-03-15,592.0200
1999-03-16,601.8300
1999-03-17,600.5200
1999-03-18,578.9800
1999-03-19,604.2200
1999-03-22,607.7400
1999-03-23,614.3400
1999-03-24,611.4800
1999-03-25,611.0700
1999-03-26,609.7900
1999-03-29,601.0700
1999-03-30,618.0500
1999-03-31,618.9800
1999-04-01,636.8900
1999-04-02,646.7800
1999-04-06,666.7300
1999-04-07,673.3600
1999-04-08,681.1900
1999-04-09,687.4200
1999-04-12,689.6400
1999-04-13,689.8000
1999-04-14,687.4100
1999-04-15,722.0100
1999-04-16,725.1400
1999-04-19,766.5900
1999-04-20,770.4300
1999-04-21,743.2600
1999-04-22,740.4000
1999-04-23,750.9900
1999-04-26,776.3000
1999-04-27,793.9800
1999-04-28,790.0300
1999-04-29,752.6100
1999-04-30,752.5900
1999-05-03,756.5900
1999-05-04,771.1700
1999-05-06,810.5400
1999-05-07,810.6200
1999-05-10,814.2400
1999-05-11,781.4100
1999-05-12,773.1300
1999-05-13,742.3700
1999-05-14,737.8300
1999-05-17,717.8300
1999-05-18,729.2900
1999-05-19,734.9800
1999-05-20,708.6000
1999-05-21,710.4900
1999-05-24,695.6000
1999-05-25,698.6900
1999-05-26,720.0500
1999-05-27,726.6600
1999-05-28,732.2400
1999-05-31,736.0200
1999-06-01,753.7200
1999-06-02,775.0000
1999-06-03,778.2100
1999-06-04,797.5000
1999-06-07,842.3200
1999-06-08,853.6000
1999-06-09,803.4600
1999-06-10,856.0600
1999-06-11,848.6100
1999-06-14,821.9100
1999-06-15,803.7200
1999-06-16,829.5300
1999-06-17,832.2600
1999-06-18,837.7300
1999-06-21,869.0000
1999-06-22,875.9700
1999-06-23,888.6300
1999-06-24,877.3000
1999-06-25,882.0800
1999-06-28,903.0500
1999-06-29,897.4500
1999-06-30,883.0000
1999-07-01,919.9800
1999-07-02,933.4200
1999-07-05,962.8400
1999-07-06,989.4300
1999-07-07,1005.9800
1999-07-08,999.1100
1999-07-09,1027.9301
1999-07-12,1004.2500
1999-07-13,987.5000
1999-07-14,953.6700
1999-07-15,982.1400
1999-07-16,1020.8200
1999-07-19,1024.5800
1999-07-20,998.4500
1999-07-21,965.1100
1999-07-22,976.6600
1999-07-23,904.9600
1999-07-26,872.9400
1999-07-27,928.8500
1999-07-28,944.4600
1999-07-29,998.7100
1999-07-30,969.7200
1999-08-02,959.8100
1999-08-03,973.3300
1999-08-04,975.4500
1999-08-05,939.0700
1999-08-06,938.2600
1999-08-09,948.9700
1999-08-10,968.6600
1999-08-11,944.0800
1999-08-12,949.3500
1999-08-13,917.4700
1999-08-16,907.2800
1999-08-17,873.7000
1999-08-18,868.9400
1999-08-19,871.1800
1999-08-20,878.3900
1999-08-23,917.5800
1999-08-24,932.4100
1999-08-25,963.0000
1999-08-26,959.8800
1999-08-27,960.2800
1999-08-30,942.5700
1999-08-31,937.8800
1999-09-01,905.5200
1999-09-02,898.9700
1999-09-03,910.6200
