date,close
2006-06-12,471.1000
2006-06-13,459.9300
2006-06-14,462.5200
2006-06-15,468.9500
2006-06-16,469.6100
2006-06-19,462.7100
2006-06-20,461.1600
2006-06-21,467.2600
2006-06-22,469.5500
2006-06-23,468.0800
2006-06-26,472.7100
2006-06-27,473.4500
2006-06-28,473.4700
2006-06-29,481.9200
2006-06-30,484.6800
2006-07-03,485.4300
2006-07-05,489.0800
2006-07-06,490.9000
2006-07-07,484.7100
2006-07-10,482.0100
2006-07-11,488.6700
2006-07-12,494.3500
2006-07-13,504.9700
2006-07-14,509.6300
2006-07-17,496.6700
2006-07-18,488.4300
2006-07-19,486.4700
2006-07-20,484.1100
2006-07-21,484.0700
2006-07-24,489.1900
2006-07-25,483.9400
2006-07-26,487.1900
2006-07-27,491.6500
2006-07-28,486.6200
2006-07-31,498.2500
2006-08-01,498.4200
2006-08-02,505.6300
2006-08-03,498.6600
2006-08-04,497.0000
2006-08-07,504.9900
2006-08-08,503.3700
2006-08-09,506.7800
2006-08-10,495.2800
2006-08-11,495.6000
2006-08-14,487.2600
2006-08-15,485.8200
2006-08-16,482.2400
2006-08-17,471.6700
2006-08-18,475.1200
2006-08-21,480.5200
2006-08-22,482.3300
2006-08-23,475.5200
2006-08-24,479.1000
2006-08-25,481.0900
2006-08-28,468.4100
2006-08-29,464.8500
2006-08-30,464.2700
2006-08-31,465.8700
2006-09-01,459.0100
2006-09-05,457.1400
2006-09-06,453.2600
2006-09-07,450.2300
2006-09-08,446.4100
2006-09-11,441.6200
2006-09-12,437.2400
2006-09-13,438.3900
2006-09-14,433.7300
2006-09-15,431.5800
2006-09-18,434.9700
2006-09-19,426.5100
2006-09-20,418.3200
2006-09-21,423.5700
2006-09-22,418.0200
2006-09-25,418.9300
2006-09-26,419.2000
2006-09-27,426.0000
2006-09-28,426.6300
2006-09-29,428.0500
2006-10-02,420.1700
2006-10-03,409.6800
2006-10-04,413.8100
2006-10-05,420.1800
2006-10-06,422.7800
2006-10-09,430.2900
2006-10-10,426.5000
2006-10-11,426.8500
2006-10-12,429.8900
2006-10-13,434.7600
2006-10-16,444.4400
2006-10-17,440.2100
