date,close
2000-10-16,867.1000
2000-10-17,804.0000
2000-10-18,802.6000
2000-10-19,798.4000
2000-10-20,826.2000
2000-10-23,796.4000
2000-10-24,808.9000
2000-10-25,808.6000
2000-10-26,793.8000
2000-10-27,783.7000
2000-10-30,741.8000
2000-10-31,746.8000
2000-11-01,763.6000
2000-11-02,782.5000
2000-11-03,795.4000
2000-11-06,804.6000
2000-11-07,796.3000
2000-11-08,793.1000
2000-11-09,801.1000
2000-11-10,808.3000
2000-11-13,780.7000
2000-11-14,800.9000
2000-11-15,816.4000
2000-11-16,808.6000
2000-11-17,806.8000
2000-11-20,801.7000
2000-11-21,787.0000
2000-11-22,771.3000
2000-11-23,728.3000
2000-11-24,735.0000
2000-11-27,759.4000
2000-11-28,725.0000
2000-11-29,684.5000
2000-11-30,672.6000
2000-12-01,678.1000
2000-12-04,663.8000
2000-12-05,669.6000
2000-12-06,675.4000
2000-12-07,677.2000
2000-12-08,684.1000
2000-12-11,711.1000
2000-12-12,697.7000
2000-12-13,707.5000
2000-12-14,708.5000
2000-12-15,679.4000
2000-12-18,665.7000
2000-12-19,634.0000
2000-12-20,589.8000
2000-12-21,560.6000
2000-12-22,526.7000
2000-12-26,525.8000
2001-01-02,557.0000
2001-01-03,569.0000
2001-01-04,615.1000
2001-01-05,625.2000
2001-01-08,650.0000
2001-01-09,678.2000
2001-01-10,639.6000
2001-01-11,675.1000
2001-01-12,713.6000
2001-01-15,765.2000
2001-01-16,777.1000
2001-01-17,750.1000
2001-01-18,745.6000
2001-01-19,772.1000
2001-01-22,833.2000
2001-01-26,800.4000
2001-01-29,813.8000
2001-01-30,827.6000
2001-01-31,843.6000
2001-02-01,827.0000
2001-02-02,826.6000
2001-02-05,779.7000
2001-02-06,797.2000
2001-02-07,778.0000
2001-02-08,798.0000
2001-02-09,807.3000
2001-02-12,831.1000
2001-02-13,840.8000
2001-02-14,853.1000
2001-02-15,873.8000
2001-02-16,863.2000
2001-02-19,872.9000
2001-02-20,876.5000
2001-02-21,852.5000
2001-02-22,801.8000
2001-02-23,805.7000
2001-02-26,812.5000
2001-02-27,781.2000
2001-02-28,767.6000
2001-03-02,719.9000
2001-03-05,743.2000
2001-03-06,735.2000
2001-03-07,753.5000
2001-03-08,780.0000
2001-03-09,765.6000
2001-03-12,723.3000
2001-03-13,685.7000
2001-03-14,720.4000
2001-03-15,712.4000
2001-03-16,713.8000
2001-03-19,713.3000
2001-03-20,713.5000
2001-03-21,712.7000
2001-03-22,706.4000
2001-03-23,706.1000
2001-03-26,727.7000
2001-03-27,718.6000
2001-03-28,705.8000
2001-03-29,691.4000
2001-03-30,684.3000
2001-04-02,682.9000
2001-04-03,662.4000
2001-04-04,643.4000
2001-04-06,665.1000
2001-04-09,648.1000
2001-04-10,645.6000
2001-04-11,671.8000
2001-04-12,683.2000
2001-04-13,686.2000
2001-04-16,680.7000
2001-04-17,683.1000
2001-04-18,721.9000
2001-04-19,749.0000
2001-04-20,735.0000
2001-04-23,758.8000
2001-04-24,757.2000
2001-04-25,769.7000
2001-04-26,763.4000
2001-04-27,753.2000
2001-04-30,789.7000
2001-05-02,810.0000
2001-05-03,799.9000
2001-05-04,804.8000
2001-05-07,828.4000
2001-05-08,822.7000
2001-05-09,795.9000
2001-05-10,814.1000
2001-05-11,817.2000
2001-05-14,829.3000
2001-05-15,814.8000
2001-05-16,801.2000
2001-05-17,833.2000
2001-05-18,830.3000
2001-05-21,838.1000
2001-05-22,837.8000
2001-05-23,828.6000
2001-05-24,830.1000
2001-05-25,834.3000
2001-05-28,832.2000
2001-05-29,838.1000
2001-05-30,832.2000
2001-05-31,813.5000
2001-06-01,801.1000
2001-06-04,803.7000
2001-06-05,789.2000
2001-06-07,781.4000
2001-06-08,807.7000
2001-06-11,795.2000
2001-06-12,801.2000
2001-06-13,816.8000
2001-06-14,821.3000
2001-06-15,824.9000
2001-06-18,817.6000
2001-06-19,809.3000
2001-06-20,788.3000
2001-06-21,788.2000
2001-06-22,786.0000
2001-06-25,776.8000
2001-06-26,745.3000
2001-06-27,746.0000
2001-06-28,747.2000
2001-06-29,768.7000
2001-07-02,775.6000
2001-07-03,776.5000
2001-07-04,774.9000
2001-07-05,767.2000
2001-07-06,740.8000
2001-07-09,701.2000
2001-07-10,706.7000
2001-07-11,680.7000
2001-07-12,721.6000
2001-07-13,695.8000
2001-07-16,701.7000
2001-07-18,680.3000
2001-07-19,683.8000
2001-07-20,670.8000
2001-07-23,641.4000
2001-07-24,645.3000
2001-07-25,641.0000
2001-07-26,652.4000
2001-07-27,674.6000
2001-07-30,669.8000
2001-07-31,680.9000
2001-08-01,704.4000
2001-08-02,707.2000
2001-08-03,705.8000
2001-08-06,718.0000
2001-08-07,714.9000
2001-08-08,707.7000
2001-08-09,689.2000
2001-08-10,692.1000
2001-08-13,689.7000
2001-08-14,697.6000
2001-08-16,690.4000
2001-08-17,691.4000
2001-08-20,679.7000
2001-08-21,682.2000
2001-08-22,686.6000
2001-08-23,679.4000
2001-08-24,677.8000
2001-08-27,681.3000
2001-08-28,674.4000
2001-08-29,653.2000
2001-08-30,648.3000
2001-08-31,618.4000
2001-09-03,615.2000
2001-09-04,627.4000
2001-09-05,617.6000
2001-09-06,627.6000
2001-09-07,631.4000
2001-09-10,626.2000
2001-09-11,618.0000
2001-09-12,546.4000
2001-09-13,541.9000
2001-09-14,502.1000
2001-09-17,460.5000
2001-09-18,494.8000
2001-09-19,504.6000
2001-09-20,493.6000
2001-09-21,489.7000
2001-09-24,500.0000
2001-09-25,486.2000
2001-09-26,489.1000
2001-09-27,496.5000
2001-09-28,516.4000
2001-10-04,550.8000
2001-10-05,540.7000
2001-10-08,535.5000
2001-10-09,560.2000
2001-10-10,564.5000
2001-10-11,583.9000
2001-10-12,590.2000
2001-10-15,595.7000
2001-10-16,608.2000
2001-10-17,619.1000
2001-10-18,612.8000
2001-10-19,620.6000
2001-10-22,633.6000
2001-10-23,629.9000
2001-10-24,640.9000
2001-10-25,636.6000
2001-10-26,641.0000
2001-10-29,640.6000
2001-10-30,617.1000
2001-10-31,625.5000
2001-11-01,636.4000
2001-11-02,639.3000
2001-11-05,653.6000
2001-11-06,659.7000
2001-11-07,656.6000
2001-11-08,666.1000
2001-11-09,671.9000
2001-11-12,683.9000
2001-11-13,680.1000
2001-11-14,692.0000
2001-11-15,683.3000
2001-11-16,685.0000
2001-11-19,691.5000
2001-11-20,686.8000
2001-11-21,690.3000
2001-11-22,696.6000
2001-11-23,706.2000
2001-11-26,722.8000
2001-11-27,722.8000
2001-11-28,679.9000
2001-11-29,689.9000
2001-11-30,705.2000
2001-12-03,710.3000
2001-12-04,707.6000
2001-12-05,720.4000
2001-12-06,718.9000
2001-12-07,728.2000
2001-12-10,727.0000
2001-12-11,723.8000
2001-12-12,747.9000
2001-12-13,753.0000
2001-12-14,739.4000
2001-12-17,715.1000
2001-12-18,693.5000
2001-12-19,675.9000
2001-12-20,698.4000
2001-12-21,684.3000
2001-12-24,684.3000
2001-12-26,685.4000
2001-12-27,694.3000
2001-12-28,722.1000
2002-01-02,744.7000
2002-01-03,744.9000
2002-01-04,754.5000
2002-01-07,760.9000
2002-01-08,753.5000
2002-01-09,761.5000
2002-01-10,763.3000
2002-01-11,750.2000
2002-01-14,751.1000
2002-01-15,731.9000
2002-01-16,729.1000
2002-01-17,722.9000
2002-01-18,720.2000
2002-01-21,729.9000
2002-01-22,739.3000
2002-01-23,750.3000
2002-01-24,750.1000
2002-01-25,764.7000
2002-01-28,799.9000
2002-01-29,790.9000
2002-01-30,762.0000
2002-01-31,773.6000
2002-02-01,759.8000
2002-02-04,742.8000
2002-02-05,743.5000
2002-02-06,747.4000
2002-02-07,724.5000
2002-02-08,728.8000
2002-02-14,751.9000
2002-02-15,753.0000
2002-02-18,760.5000
2002-02-19,758.5000
2002-02-20,756.7000
2002-02-21,763.0000
2002-02-22,770.6000
2002-02-25,771.1000
2002-02-26,770.0000
2002-02-27,775.4000
2002-02-28,787.1000
2002-03-04,830.4000
2002-03-05,836.2000
2002-03-06,841.4000
2002-03-07,837.3000
2002-03-08,840.9000
2002-03-11,865.4000
2002-03-12,866.0000
2002-03-13,869.6000
2002-03-14,874.9000
2002-03-15,893.5000
2002-03-18,917.8000
2002-03-19,925.8000
2002-03-20,916.6000
2002-03-21,918.4000
2002-03-22,943.0000
2002-03-25,936.3000
2002-03-26,925.6000
2002-03-27,931.0000
2002-03-28,918.5000
2002-03-29,927.3000
2002-04-01,877.0000
2002-04-02,884.2000
2002-04-03,878.7000
2002-04-04,882.0000
2002-04-08,879.9000
2002-04-09,862.1000
2002-04-10,835.4000
2002-04-11,846.1000
2002-04-12,842.4000
2002-04-15,858.2000
2002-04-16,865.1000
2002-04-17,874.3000
2002-04-18,876.8000
2002-04-19,858.8000
2002-04-22,824.5000
2002-04-23,810.2000
2002-04-24,794.8000
2002-04-25,757.3000
2002-04-26,767.8000
2002-04-29,737.0000
2002-04-30,733.4000
2002-05-02,763.1000
2002-05-03,764.8000
2002-05-06,755.0000
2002-05-07,748.2000
2002-05-08,767.8000
2002-05-09,780.2000
2002-05-10,769.9000
2002-05-13,766.3000
2002-05-14,766.6000
2002-05-15,783.4000
2002-05-16,779.9000
2002-05-17,794.7000
2002-05-20,793.5000
2002-05-21,766.5000
2002-05-22,774.2000
2002-05-23,755.3000
2002-05-24,755.7000
2002-05-27,743.9000
2002-05-28,740.7000
2002-05-29,724.7000
2002-05-30,703.8000
2002-05-31,697.8000
2002-06-03,698.0000
2002-06-04,698.8000
2002-06-05,710.5000
2002-06-07,697.2000
2002-06-10,712.5000
2002-06-11,713.6000
2002-06-12,724.0000
2002-06-14,715.5000
2002-06-17,704.6000
2002-06-18,701.8000
2002-06-19,662.6000
2002-06-20,657.7000
2002-06-21,658.1000
2002-06-24,639.1000
2002-06-25,618.8000
2002-06-26,566.3000
2002-06-27,572.3000
2002-06-28,608.5000
2002-07-02,610.5000
2002-07-03,621.5000
2002-07-04,637.1000
2002-07-05,649.8000
2002-07-08,652.9000
2002-07-09,669.1000
2002-07-10,674.5000
2002-07-11,656.2000
2002-07-12,668.2000
2002-07-15,657.4000
2002-07-16,642.2000
2002-07-18,644.7000
2002-07-19,631.4000
2002-07-22,592.8000
2002-07-23,616.1000
2002-07-24,595.4000
2002-07-25,602.3000
